Codigo;DescripciÃƒÂ³n de artÃƒÂ­culo;Cod Barra;Peso;Cupo;Cod Jerarq 4;CÃƒÂ³digos de artÃƒÂ­-culos alternativos;Descrip 3 Artic;Familia Envase
29607;Kequito Chocolate 8p 160g ID;7803403002427;160;20;72 BG;29607;BG;BANDEJAS
29660;Pizza Ital 2p 500g ID;7803403002434;500;15;72 BG;29660;BG;BANDEJAS
29863;Tortilla 25cm McD 12p 800g ID;7803403002380;800;12;30 CC;29863;CC;CORRUGADO
30400;Pan Pascua Premium Frutos Secos 900g FUC;7803480000651;900;12;45 CG;30400;CG;CORRUGADO
33452;Galleta Base Alfajor 1000p 6000g LDS;7803400001393;1000;1;72 CG;33452;CG;CORRUGADO
33520;Pan Pita Blanco Light 10p 375g ID;7803403002335;375;14;120 BCH;33520;BCH;BANDEJAS
33810;Pan Pita Linaza Light 10p 375g ID;7803403002342;375;14;120 BCH;33810;BCH;BANDEJAS
33963;Pan Hamb 4 Sin Sesamo 8p 450g Bol HOU;7803473339638;450;6;72 BG;33963;BG;BANDEJAS
3425;Alfajor Escolar 5P 110G Tira Lds;7803400000693;110;35;120 BCH;3425;BCH;BANDEJAS
34692;Takis Fuego 12ct 9.9oz 280g CASE EXP BAR;10757528008687;280;12;72 CU;34692;CU;CAJAS
34707;Takis Nitro 1ct 4OZ 113.4g FLOW BAR EXP;757528008802_34707;113.4;16;117 CU;34707;CU;CAJAS
34708;Takis Fajita 1ct 4OZ 113.4g FLOW BAR EXP;757528008819_34708;113.4;16;117 CU;34708;CU;CAJAS
34710;Takis Guacamole 1ct 4OZ 113.4g FLOW BAR EXP;757528008833;113.4;16;117 CU;34710;CU;CAJAS
34720;Hot Nuts Chile Limon 12c3.2oz90.75g DPY BAR EXP;10757528008939;1089;3;117 CU;34720;CU;CAJAS
34721;Hot NutsFuego 12ct 3.2oz 90.8g DPY BAR EXP;10757528008946;1089;3;117 CU;34721;CU;CAJAS
34740;Mini Takis Fuego 25ct 30.9oz 875g MP EXP BAR;10757528009110;875;5;72 CU;34740;CU;CAJAS
34805;Pinguinos Halloween 3p 120g MLA;7803473004253;120;44;72 BG;34805;BG;BANDEJAS
3490;Alfi 3p 45g MLA;7803473002020_1;45;120;120 BCH;3490;BCH;BANDEJAS
35377;Churritos Fuego 1ctp 4OZ 113.4g FLOW BAR EXP;757528010607;113.4;16;117 CU;35377;CU;CAJAS
3538;Pan Integral 900g HOU;7803403000874;945;8;72 BG;3538;BG;BANDEJAS
35873;Pan Calabaza Nuez 380g Fuc;780348000115;380;13;72 BG;35873;BG;BANDEJAS
36081;Hit Marinela 1p 25g MLA;7730476008653;25;144;90 CME;36081;CME;CORRUGADO
36124;Salmas Chile 8p 144g EXP SAN;658480001101;144;28;64 CG;36124;CG;CORRUGADO
36466;Takis Original 1p 56g Flow BAR EXP;757528013455;56;36;108 CT;36466;CT;CAJAS
36468;Takis Fuego 1p 56g Flow BAR EXP;757528013479;56;36;108 CT;36468;CT;CAJAS
36469;Takis Original 1p 90g Flow BAR EXP;757528013486;90;35;64 CT;36469;CT;CAJAS
36471;Takis Fuego 1p 90g FLOW BAR EXP;757528013509;90;35;64 CT;36471;CT;CAJAS
3653;Alfi 25p 375g MLA;7803473004673;375;625;72 BG;3653;BG;BANDEJAS
3682;Mankeke Manjar Lucuma 4p 100g MLA;7803473004697;100;60;48 BG;3682;BG;BANDEJAS
3857;Pan Pascua 500g CEN;7803403003676;500;18;45 CG;3857;CG;CORRUGADO
3858;Pan Integral XL 750g Id;7803403001925;750;7;72 BG;3858;BG;BANDEJAS
3859;Galletas Mix Vegetales 220g SAN;7730154004489;220;24;64 CG;3859;CG;CORRUGADO
3898;Pan Frances suaj 24p 1400g Ppack HOU;7803473038982;1400;1;120 BCH;3898;BCH;BANDEJAS
39798;Quequitos Vainilla 6p 300g CEN;7803473004161;300;15;72 BG;39798;BG;BANDEJAS
39799;Quequitos Chocolate 6p 300g CEN;7803473004154;300;15;72 BG;39799;BG;BANDEJAS
40168;Pan Pita Blanco Light 8p 344g CJ ID;7803473001993;344;14;120 BCH;40168;BCH;BANDEJAS
40279;Mil Hojas 6p 280g ADP;7803473002143;280;22;72 BG;40279;BG;BANDEJAS
40382;Alfi 10p 200g ME MLA;7803473004680;150;40;72 BG;40382;BG;BANDEJAS
40383;Galleton AvenaChocolate 4p 200g FUC;7803480000934;200;28;72 BG;40383;BG;BANDEJAS
40384;Galleton AvenaCranberry 4p 200g FUC;7803480000941;200;28;72 BG;40384;BG;BANDEJAS
40575;Tortilla Mexicana 10p 320g TR;7803473002242_1;320;18;72 BG;40575;BG;BANDEJAS
4077;Mil Hojas 1p 80g ADP;7803403002014;80;144;72 BG;4077;BG;BANDEJAS
41671;Prepizza Toques de Cebolla 2p 500g ID;7803473001603;500;18;72 BG;41671;BG;BANDEJAS
41916;Alfajor Brandy 12p 540g LDS;7803400001492;45;180;72 BG;41916;BG;BANDEJAS
41922;Alfajor Clasico 12p 540g LDS;7803400001508;540;180;72 BG;41922;BG;BANDEJAS
42427;Medialuna Mant Esp Prefe 288p 9.67kg ID;7797674001183;9670;288;48 CT;42427;CT;CAJAS
4386;Pan Flautitas 6p 318g Bolsa ID;7803403043864;318;11;72 BG;4386;BG;BANDEJAS
4388;Pan Rallado XL 250g ID;7803403002212;250;32;120 BCH;4388;BCH;BANDEJAS
44169;Rayita 2p 60g MLA;7803473004635;60;94;72 BG;44169;BG;BANDEJAS
44238;Gansito go 7p 175g ME MLA;7803473004642;175;36;72 BG;44238;BG;BANDEJAS
44272;Mankeke 8p 200g ME MLA;7803473004659;200;20;72 BG;44272;BG;BANDEJAS
44282;Gansito 4p 200g MLA;7803473002068;200;36;72 BG;44282;BG;BANDEJAS
44284;Tortilla Integral 8p 260g TR;7803403001895_1;260;18;72 BG;44284;BG;BANDEJAS
44397;Chilenos 6p 230g ADP;7803403101045;230;8;120 BCH;44397;BCH;BANDEJAS
44398;Principes 6p 230g ADP;7803403101069;230;8;120 BCH;44398;BCH;BANDEJAS
44400;Pan de Pascua 900g ADP;7803403104015;800;18;45 CG;44400;CG;CORRUGADO
44463;Disco Merengue Cup 3p 450g ADP;7803403601019;450;5;72 BG;44463;BG;BANDEJAS
44554;Pizza Clas Promo 2p 500g ID;78034032363410;500;20;72 BG;44554;BG;BANDEJAS
44555;Rapiditas Tortilla 8p 200g ASS ID;7803403000331;200;27;72 BG;44555;BG;BANDEJAS
44817;Sampling Pan Artesano 56G Id;7803403002359;56;85;72 BG;44817;BG;BANDEJAS
44855;Rapiditas Tortilla Trad 8p 200g ID;78034030003311;200;27;72 BG;44855;BG;BANDEJAS
44860;Pan Blanc Stuttgart con Ses 600g FUC;7803480001030;600;10;72 BG;44860;BG;BANDEJAS
44881;Galleton Miel 1p 70g ADP;7803473001504;70;84;72 BG;44881;BG;BANDEJAS
45002;Mankeke Chocolate 4p 100g MLA;7803473004604;100;60;72 BG;45002;BG;BANDEJAS
45213;Pan de Pascua libre ley 500g ID;7803403001918;500;18;45 CG;45213;CG;CORRUGADO
45221;Pan Integral 1p 380g Bolsa ID;7803403001901;380;13;72 BG;45221;BG;BANDEJAS
45587;Gansito Manjar 1p 47g MLA;7803473004307;47;144;72 BG;45587;BG;BANDEJAS
45644;Minibaguette Prec. 1p 480g FLOW ID;7793890256291;480;24;30 CG;45644;CG;CORRUGADO
45645;Minibaguette Prec. Salv. 1p 480g FLOW ID;7793890256307;480;24;30 CG;45645;CG;CORRUGADO
46192;Tortilla 25cm 12p 940g HOU;7803403002397;940;12;30 CME;46192;CME;CORRUGADO
46193;Tortilla 17cm 10p 320g HOU;17803473002243;320;18;30 CME;46193;CME;CORRUGADO
4620;Mankeke 2p 60g CJ MLA;7803473241252;60;104;72 BG;4620;BG;BANDEJAS
46314;Brownie Chips 4p 272g FUC;7803480000798;272;30;72 BG;46314;BG;BANDEJAS
46316;Brownie Nuez 4p 272g FUC;7803480000781;272;30;72 BG;46316;BG;BANDEJAS
